user_id,call_start,call_duration_min
user_1007,9/15/2020 0:00:00,8.495310611
user_1009,9/15/2020 3:00:00,2.16256821
user_1014,9/15/2020 12:00:00,3.99661667
user_1015,9/15/2020 16:00:00,6.886583842
user_1017,9/15/2020 18:00:00,3.464794831
user_1028,9/15/2020 11:00:00,8.688323564
user_1029,9/15/2020 9:00:00,7.569543197
user_1032,9/15/2020 15:00:00,3.503017223
user_1048,9/15/2020 15:00:00,6.965509947
user_105,9/15/2020 0:00:00,4.511385184
user_1051,9/15/2020 1:00:00,5.406455173
user_1056,9/15/2020 1:00:00,6.829157708
user_1059,9/15/2020 12:00:00,9.480971049
user_1060,9/15/2020 0:00:00,0.8367475626
user_1065,9/15/2020 6:00:00,4.046519084
user_1073,9/15/2020 12:00:00,8.713984981
user_1079,9/15/2020 1:00:00,3.840408607
user_108,9/15/2020 16:00:00,4.709978641
user_1086,9/15/2020 6:00:00,8.88855917
user_1093,9/15/2020 8:00:00,3.693248277
user_1097,9/15/2020 23:00:00,1.529917649
user_11,9/15/2020 11:00:00,7.60986849
user_110,9/15/2020 5:00:00,7.971943399
user_1107,9/15/2020 1:00:00,4.4262759
user_1116,9/15/2020 6:00:00,6.167583107
user_1117,9/15/2020 5:00:00,6.028733119
user_1119,9/15/2020 2:00:00,2.864832688
user_1130,9/15/2020 18:00:00,8.254507159
user_114,9/15/2020 18:00:00,6.365781623
user_1151,9/15/2020 14:00:00,8.883212845
user_1156,9/15/2020 13:00:00,2.813662118
user_116,9/15/2020 17:00:00,4.944307002
user_1164,9/15/2020 1:00:00,4.705821183
user_1167,9/15/2020 21:00:00,4.303473061
user_1168,9/15/2020 6:00:00,2.340927125
user_1170,9/15/2020 9:00:00,4.162950891
user_1172,9/15/2020 23:00:00,5.614528998
user_1188,9/15/2020 9:00:00,0.1163019251
user_12,9/15/2020 2:00:00,3.074051959
user_120,9/15/2020 2:00:00,8.785499999
user_1200,9/15/2020 0:00:00,2.559354862
user_1202,9/15/2020 4:00:00,8.167672001
user_1213,9/15/2020 3:00:00,7.746316152
user_1217,9/15/2020 10:00:00,6.74160907
user_1219,9/15/2020 3:00:00,4.168004151
user_1220,9/15/2020 6:00:00,2.522911767
user_1225,9/15/2020 22:00:00,8.031524258
user_1229,9/15/2020 1:00:00,9.785142524
user_123,9/15/2020 10:00:00,9.6305761
user_1230,9/15/2020 4:00:00,5.537715482
user_1243,9/15/2020 21:00:00,8.157303926
user_1244,9/15/2020 9:00:00,2.3058003
user_1255,9/15/2020 20:00:00,6.056627965
user_127,9/15/2020 7:00:00,3.810790521
user_1275,9/15/2020 15:00:00,3.087617232
user_1276,9/15/2020 0:00:00,7.100782583
user_128,9/15/2020 4:00:00,4.336545246
user_1285,9/15/2020 3:00:00,8.109026773
user_1292,9/15/2020 4:00:00,3.473282201
user_13,9/15/2020 6:00:00,7.885851702
user_130,9/15/2020 6:00:00,5.496046274
user_1303,9/15/2020 21:00:00,7.498646101
user_1342,9/15/2020 21:00:00,9.539993726
user_1360,9/15/2020 7:00:00,0.2489760164
user_1370,9/15/2020 14:00:00,6.534606744
user_1374,9/15/2020 1:00:00,8.120869598
user_1379,9/15/2020 0:00:00,2.616545876
user_138,9/15/2020 23:00:00,3.736073125
user_1380,9/15/2020 10:00:00,3.303039778
user_1396,9/15/2020 9:00:00,1.318218041
